,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_predictor__regressor,param_preprocess__func_transf__func__func,param_preprocess__num__poly__degree,param_predictor__func,param_predictor__inverse_func,param_predictor__regressor__alpha,param_predictor__regressor__learning_rate,param_preprocess__num__scaler,param_predictor__regressor__min_samples_split,param_predictor,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.13756155967712402,0.007939926459346288,0.03977775573730469,0.005635213607617196,LinearRegression(),,1,,,,,,,,"{'predictor__regressor': LinearRegression(), 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 1}",0.24963649833769963,-0.9043695446463615,0.035545591729637116,0.5098118639172855,0.3819636417524035,0.05451761021813284,0.5044620213196787,6,0.5184986030752774,0.48080804417689793,0.5531448737292125,0.4584674601877027,0.5085126360054592,0.5038863234349099,0.03242470161332053
1,0.17289719581604004,0.006933768341598773,0.03511157035827637,0.0014792052601947275,LinearRegression(),,2,,,,,,,,"{'predictor__regressor': LinearRegression(), 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 2}",-0.03198179758214592,-2034.2713039231592,0.1522059945419333,-30.468568755545817,0.41076624734786005,-412.8417764468794,810.8016530158995,43,0.7678480324413157,0.7576570560576712,0.7294182273881842,0.7159622762020728,0.7404737260046146,0.7422718636187717,0.018716240067309917
2,0.1410524845123291,0.009380525684459714,0.030028629302978515,0.00279169769153996,LinearRegression(),<ufunc 'sqrt'>,1,,,,,,,,"{'predictor__regressor': LinearRegression(), 'preprocess__func_transf__func__func': <ufunc 'sqrt'>, 'preprocess__num__poly__degree': 1}",0.23610871821709334,-1.02700694390265,0.04839180684650901,0.5453921220682125,0.38401128950261243,0.03737939854635548,0.5569135474583717,12,0.5211657946237367,0.48348224339540324,0.5521798713122562,0.4566340344796045,0.5089500276222658,0.5044823942866532,0.03256936223728325
3,0.13726229667663575,0.007276892914789293,0.026552820205688478,0.0028760012136016234,LinearRegression(),<ufunc 'sqrt'>,2,,,,,,,,"{'predictor__regressor': LinearRegression(), 'preprocess__func_transf__func__func': <ufunc 'sqrt'>, 'preprocess__num__poly__degree': 2}",-0.28856102938334893,-1799.8567311234226,-0.2258257049669854,-25.342334718511047,0.3215805208643391,-365.0783744110839,717.4560093643133,36,0.743548620689785,0.7398689760553807,0.7225745047065602,0.7129672937404956,0.7207095003000583,0.7279337790984559,0.011757379933110391
4,0.09401044845581055,0.01345877302887288,0.01635007858276367,0.003646928677161732,LinearRegression(),,1,<ufunc 'log'>,<ufunc 'exp'>,,,,,,"{'predictor__func': <ufunc 'log'>, 'predictor__inverse_func': <ufunc 'exp'>, 'predictor__regressor': LinearRegression(), 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 1}",0.1686108153169703,-1.7895871993484547,0.09701877960964267,-7.980546662711252,0.23445788524001032,-1.8540092763786167,3.1558773152923343,28,0.12884139082393786,-0.0390087726435,0.19126115577720193,-0.36864727858284096,0.023306525866811922,-0.01284939575167785,0.19510053477139883
5,0.07409129142761231,0.005798191970583448,0.015636205673217773,0.0013329530517911326,LinearRegression(),,2,<ufunc 'log'>,<ufunc 'exp'>,,,,,,"{'predictor__func': <ufunc 'log'>, 'predictor__inverse_func': <ufunc 'exp'>, 'predictor__regressor': LinearRegression(), 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 2}",-196.13364808209428,-1.6662671997238072e+158,-3745919191.8775506,-1.5247346916103643e+192,-0.5950032347944052,-3.0494693832207286e+191,inf,50,0.6032284981948897,0.600026108951362,0.592966916516586,-0.7768081409613103,0.5491058059386167,0.3137038377280288,0.5456048572902846
6,0.0637594223022461,0.0019006098592284073,0.01487421989440918,0.0013858938836582321,LinearRegression(),<ufunc 'sqrt'>,1,<ufunc 'log'>,<ufunc 'exp'>,,,,,,"{'predictor__func': <ufunc 'log'>, 'predictor__inverse_func': <ufunc 'exp'>, 'predictor__regressor': LinearRegression(), 'preprocess__func_transf__func__func': <ufunc 'sqrt'>, 'preprocess__num__poly__degree': 1}",0.16885932628681277,-2.1645767537886287,0.09628984629263682,-9.326956817542266,0.23544387136987688,-2.1981881054763135,3.677242996789613,35,0.17500053368043766,0.29451979944196793,0.24435957698565514,-0.41466086279516223,0.09373582631739863,0.07859097472605943,0.2557053114989427
7,0.07889151573181152,0.011229985973382014,0.018018531799316406,0.0049913888618669895,LinearRegression(),<ufunc 'sqrt'>,2,<ufunc 'log'>,<ufunc 'exp'>,,,,,,"{'predictor__func': <ufunc 'log'>, 'predictor__inverse_func': <ufunc 'exp'>, 'predictor__regressor': LinearRegression(), 'preprocess__func_transf__func__func': <ufunc 'sqrt'>, 'preprocess__num__poly__degree': 2}",-1499.9220792525718,-5.889252003611645e+146,-2100815067.9092898,-2.3444754693341353e+202,-0.6217978173612044,-4.6889509386682704e+201,inf,56,0.5543958130189357,0.5715895500785184,0.5950486548042928,-0.780557570495712,0.5366907941797532,0.2954334483171576,0.5383409236401999
8,0.09401912689208984,0.011124913502774524,0.028723382949829103,0.008558877513572708,Ridge(),,1,,,0.1,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 0.1, 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 1}",0.24975402676859926,-0.90568868786353,0.03556168940414839,0.5098377224260151,0.38194124597186885,0.054281199341420325,0.504974273114531,7,0.5184985048470905,0.48080796037662177,0.5531448110130777,0.4584674022977222,0.5085126021325628,0.5038862561334151,0.03242470088495166
9,0.11844382286071778,0.01905767862177129,0.03504500389099121,0.002352380364486257,Ridge(),,2,,,0.1,,,,,"{'predictor__regressor': Ridge(), 'predictor__regressor__alpha': 0.1, 'preprocess__func_transf__func__func': None, 'preprocess__num__poly__degree': 2}",-0.031675215236671495,-2036.5032044176694,0.15207170674277148,-30.47811074676746,0.4107242345566885,-413.29003888767477,811.6934308521621,44,0.7678478221150575,0.7576569364546921,0.7294181676139073,0.7159620725176976,0.7404737060315733,0.7422717409465855,0.018716228779169657
